,Estado,Amazon
0,Aguascalientes,82
1,Baja California,94
2,Baja California Sur,91
3,Campeche,81
4,Chiapas,48
5,Chihuahua,77
6,Coahuila,69
7,Colima,82
8,Durango,61
9,Guanajuato,67
10,Guerrero,50
11,Hidalgo,61
12,Jalisco,91
13,Mexico City,100
14,Michoacán,63
15,Morelos,70
16,Nayarit,70
17,Nuevo Leon,97
18,Oaxaca,57
19,Puebla,65
20,Querétaro,96
21,Quintana Roo,79
22,San Luis Potosi,73
23,Sinaloa,77
24,Sonora,87
25,State of Mexico,77
26,Tabasco,66
27,Tamaulipas,70
28,Tlaxcala,51
29,Veracruz,65
30,Yucatan,83
31,Zacatecas,60
